Abelcet	amphotericin b lipid complex
Abilify	aripiprazole
Abilify Maintena injection	aripiprazole
Abraxane	albumin-bound paclitaxel
Acanya	clindamycin phosphate and benzoyl peroxide
Accupril	quinapril HCI
Accuretic	quinapril/HCTZ tablet
Actemra	tocilizumab
Actimmune	interferon gamma-1b
Activase	alteplase
Acuvail	ketorolac tromethamine ophthalmic solution
Aczone Gel 5%	dapsone
Adacel	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine
Adagen	pegademase bovine
Adcetris	brentuximab vedotin
Adcirca tablets	tadalafil
Adempas Tablet	riociguat
Adlyxin	lixisenatide
Advair diskus 100/50	fluticasone/propionate/salmeterol
Advair diskus 250/50	fluticasone/propionate/salmeterol
Advair diskus 500/50	fluticasone propionate/salmeterol
Advair HFA	fluticasone propionate and salmeterol
Advate	antihemophilic factor
Adynovate	Antihemophilic Factor (Recombinant), PEGylated
Aerochamber	inhaler spacer
Aerochamber Plus Flow-Vu mouthpiece/mask	inhaler spacer
Afinitor	everolimus
Afinitor Disperz	everolimus
Afrezza	insulin (human), inhalation powder
Afstyla	antihemophilic factor (recombinant)
Agrylin	anagrelide hydrochloride
Akynzeo capsule	netupitant/palonosetron capsule
Albenza tablets	albendazole
Aldactazide	spironolactone and hydrochlorothiazide
Aldactone	spironolactone
Aldurazyme	laronidase
Alecensa	alectinib
Alfamino Infant	nutrition supplement
Alfamino Junior	nutritional supplement
Alimta	pemetrexed
Alinia tablets	nitazoxanide
Allegra OTC	fexofenadine OTC tablet
Alomide	lodoxamide tromethamine solution
Aloxi	palonosetron HCI injection
Alphagan P 1%	brimonidine tartrate ophthalmic solution
Alphanate injection	antihemophilic factor/von willebrand factor complex (human)
AlphaNine SD	coagulation factor ix (human)
Alphaquin HP cream	hydroquinone cream
Alprolix Powder	coagulation factor IX (rDNA)
Alrex suspension .2%	loteprednol etabonate ophthalmic suspension
Altace	ramipril
Alvesco	ciclesonide
AmBisome (injection)	amphotericin B, lipid-based
Amicar	aminocaproic acid
Amitiza	lubiprostone
Anafranil	clomipramine hcl
Analpram HC Cream	hydrocortisone/pramoxine
Ancobon Caps	flucytosine
AndroGel	testosterone gel
Android capsules	methyltestosterone capsules
Angeliq	drospirenone/estradiol
Angiomax	bivalirudin
Anoro Ellipta	umeclidinium and vilanterol inhalation powder
Anusol-HC (cream)	hydrocortisone cream
Apidra	insulin glulisine
Apligraf	bi-layered skin substitute
Apriso	mesalamine extended release
Aptiom Tablet	eslicarbazepine acetate
Aptivus capsules	tipranavir
Aralast	aralast
Aranesp	darbepoetin alfa
Arestin	minocycline
Arimidex	anastrazole
Aristada	aripiprazole lauroxil
Armour Thyroid	thyroid
Arnuity Ellipta	fluticasone furoate inhalation powder
Aromasin	exemestane
Arranon	nelarabine
Arthrotec	diclofenac sodium/misoprostol
